Area,crime_2011,crime_2021
E01000367,0.056293485,0.049500651
E01000368,0.039380245,0.047058824
E01000369,0.021551724,0.030724638
E01000370,0.026891807,0.029860229
E01000371,0.027706186,0.03125
E01000372,0.042780749,0.063929619
E01000373,0.066583696,0.061561562
E01000374,0.056383668,0.071887035
E01000375,0.040595399,0.050519358
E01000376,0.046541694,0.035491905
E01000377,0.029494382,0.073921971
E01000378,0.085342529,0.079747003
E01000379,0.024852071,0.045507585
E01000380,0.053571429,0.05733945
E01000381,0.040599625,0.059765866
E01000382,0.015737705,0.02345679
E01000383,0.033288948,0.053682896
E01000384,0.02433372,0.035280509
E01000385,0.069804336,0.078187251
E01000386,0.097744361,0.118543046
E01000387,0.019543974,0.02685422
E01000388,0.03984324,0.026420079
E01000389,0.071990321,0.047647059
E01000390,0.047250194,0.043154762
E01000391,0.023795705,0.038812785
E01000392,0.119321623,0.092432707
E01000393,0.043643264,0.041566265
E01000394,0.036935705,0.047882136
E01000395,0.046089385,0.02833226
E01000396,0.024303074,0.018659295
E01000398,0.020560748,0.028678304
E01000399,0.045425464,0.039641944
E01000400,0.035483871,0.037651563
E01000401,0.060496068,0.049396268
E01000402,0.041612484,0.071964956
E01000403,0.144811321,0.232997481
E01000404,0.065445026,0.103491272
E01000405,0.049191848,0.069677419
E01000406,0.053075995,0.055323106
E01000407,0.03736413,0.044038668
E01000408,0.089036947,0.099660249
E01000409,0.015767132,0.012450481
E01000410,0.038192234,0.047507331
E01000411,0.02360515,0.028093645
E01000412,0.036729858,0.044227455
E01000413,0.051498847,0.075036075
E01000414,0.102504368,0.105263158
E01000415,0.014676451,0.022680412
E01000416,0.140735959,0.142946708
E01000417,0.063713592,0.059164733
E01000418,0.03950744,0.035677353
E01000419,0.021305842,0.031167109
E01000420,0.024484536,0.026845638
E01000421,0.014895058,0.013461538
E01000422,0.067883628,0.079291763
E01000423,0.010968921,0.018822101
E01000424,0.036729858,0.032276995
E01000425,0.017182131,0.010590858
E01000426,0.031491384,0.029447115
E01000427,0.040062435,0.04
E01000428,0.097198399,0.095087163
E01000429,0.119061936,0.125148987
E01000430,0.045606229,0.066891242
E01000431,0.096371208,0.099084097
E01000432,0.085342529,0.079747003
E01000433,0.099178082,0.114659686
E01000434,0.048994975,0.069331668
E01000435,0.069454288,0.111037234
E01000436,0.017241379,0.018359151
E01000437,0.038577912,0.038404727
E01000438,0.023676012,0.044897959
E01000439,0.092768444,0.093640811
E01000440,0.017033357,0.016837482
E01000441,0.064334791,0.072022161
E01000442,0.031036623,0.029019153
E01000443,0.033044847,0.031818182
E01000444,0.021406728,0.036419753
E01000445,0.028083028,0.048561151
E01000446,0.017823043,0.041338583
E01000447,0.131306598,0.082906858
E01000448,0.019475655,0.028106509
E01000449,0.020107239,0.025657071
E01000450,0.031028851,0.039259675
E01000451,0.023501763,0.026032824
E01000452,0.021723896,0.034751773
E01000453,0.036659878,0.02885906
E01000454,0.029224905,0.072961373
E01000455,0.028103044,0.028683915
E01000456,0.016724739,0.029602888
E01000457,0.110367893,0.123388582
E01000458,0.019164956,0.03622251
E01000459,0.055720213,0.05648198
E01000460,0.022945966,0.027027027
E01000461,0.016816817,0.029218843
E01000462,0.081545064,0.078393881
E01000463,0.024681529,0.022727273
E01000464,0.064315353,0.05102717
E01000465,0.047188106,0.097992916
E01000466,0.088888889,0.099706745
E01000467,0.066545675,0.051008304
E01000468,0.051668461,0.061883713
E01000469,0.059844405,0.049855072
E01000470,0.111263736,0.095015576
E01000471,0.034083993,0.027230591
E01000472,0.157079646,0.084512906
E01000473,0.12407603,0.082897685
E01000474,0.035235732,0.028409091
E01000475,0.10483871,0.101182033
E01000476,0.059729064,0.035418583
E01000477,0.1,0.053062985
E01000478,0.062462098,0.0388
E01000479,0.051901026,0.042285714
E01000480,0.05248146,0.04007177
E01000481,0.054980595,0.068711656
E01000482,0.085342529,0.079747003
E01000483,0.120728929,0.097826087
E01000484,0.04788961,0.066629339
E01000485,0.032140248,0.03786468
E01000486,0.031523643,0.033195021
E01000487,0.049024776,0.066295547
E01000488,0.048703352,0.053939394
E01000489,0.082545684,0.062100987
E01000490,0.13097455,0.135612536
E01000491,0.066933067,0.06195122
E01000492,0.045454545,0.05632716
E01000493,0.053724054,0.039548023
E01000494,0.060744986,0.050828098
E01000495,0.119092628,0.085335019
E01000497,0.145051195,0.102179177
E01000498,0.051068884,0.065113501
E01000499,0.119677791,0.09207025
E01000501,0.076185402,0.051954478
E01000502,0.080057184,0.073315364
E01000503,0.065623423,0.053030303
E01000504,0.076376554,0.06811837
E01000505,0.053134328,0.046622833
E01000506,0.145151695,0.115737906
E01000507,0.055420219,0.076401725
E01000508,0.154393093,0.113619263
E01000509,0.067400275,0.073946095
E01000510,0.173396675,0.2
E01000511,0.06253832,0.063411897
E01000512,0.073837209,0.078088578
E01000513,0.054117647,0.041128085
E01000514,0.050165017,0.040312094
E01000515,0.092397661,0.082308926
E01000516,0.112405358,0.06826087
E01000517,0.07120743,0.064676617
E01000518,0.052033493,0.051975052
