LSOA code,All usual residents aged 16-74 ,Never worked and long term unemployed
E01033792,955,42
E01000471,1251,123
E01000472,1078,87
E01000473,1108,145
E01000474,1496,193
E01000475,1518,163
E01000476,1263,115
E01000477,1422,170
E01000478,1662,165
E01000479,1231,136
E01000480,1332,115
E01000481,1154,129
E01000483,1226,210
E01000484,886,112
E01000485,1026,113
E01000486,1557,152
E01000487,1100,138
E01000488,1177,137
E01000489,1160,74
E01000490,1346,89
E01000491,1465,145
E01000492,1001,61
E01000493,1241,90
E01000494,1379,137
E01000495,1287,111
E01000497,1307,149
E01000498,1130,167
E01000499,1189,185
E01000501,1286,181
E01000502,972,120
E01000503,1452,145
E01000504,1362,104
E01000505,1260,139
E01000506,1248,192
E01000507,1255,124
E01000508,1375,222
E01000509,1080,129
E01000510,1226,144
E01000511,1161,149
E01000512,1372,95
E01000513,1212,105
E01000514,1130,94
E01000515,1252,177
E01000516,1304,143
E01000517,1208,122
E01000518,1202,127
E01000519,1387,147
E01000520,1196,147
E01000521,1579,292
E01000522,1317,159
E01000523,1887,228
E01000524,1796,274
E01000525,1447,174
E01000526,1580,257
E01000527,1495,213
E01000528,1069,159
E01000530,1438,84
E01000531,1619,130
E01000532,1313,78
E01000533,1676,215
E01000534,1325,89
E01000535,1675,134
E01000536,1219,94
E01000538,1168,53
E01000539,1153,69
E01000540,1138,83
E01000541,1043,68
E01000543,1213,128
E01000544,1329,186
E01000545,1547,104
E01000546,1329,82
E01000547,1412,122
E01000548,1739,138
E01000549,1564,71
E01000550,1529,164
E01000551,1520,273
E01000552,1263,222
E01000553,1649,176
E01000554,1391,121
E01000555,1132,87
E01000556,1544,150
E01000557,1535,102
E01000558,1235,109
E01000559,1212,69
E01000560,1349,82
E01000561,1423,101
E01000562,950,48
E01000563,1142,71
E01000564,897,104
E01000565,1109,115
E01000566,1170,97
E01000567,1233,123
E01000568,1962,58
E01000569,1203,68
E01000570,1181,134
E01000571,1269,160
E01000572,1090,86
E01000573,1151,105
E01000574,991,73
E01000575,1416,124
E01000576,1244,99
E01000577,1681,254
E01000578,1323,132
E01000579,1338,89
E01000580,1500,72
E01000581,1172,60
E01000582,1392,66
E01000583,1856,117
E01000584,1282,76
E01000585,1379,88
E01000586,2012,155
E01000587,1231,140
E01000589,1466,134
E01000590,1329,103
E01000591,1582,170
E01000592,1244,114
E01000593,1590,159
E01000594,1266,111
E01000595,1128,191
E01000596,1139,248
E01000599,926,121
E01000601,969,164
E01000602,1064,159
E01000603,1041,154
E01000604,1224,211
E01000605,1131,196
E01000606,1250,124
E01000607,1661,177
E01000608,1659,175
E01000609,1530,168
E01000610,1410,160
E01000611,1100,128
E01000612,1259,135
E01000613,1576,189
E01000615,1224,116
E01000616,1372,119
E01000617,1343,131
E01000618,869,91
E01000619,1243,106
E01000620,1315,136
E01000621,1662,151
E01000622,1204,141
E01000623,1304,129
E01000624,1205,98
E01000625,1091,123
E01000626,1053,152
E01000627,1372,175
E01000628,1387,185
E01000629,1466,133
E01000630,1727,231
E01000631,1466,148
E01000632,1606,176
