lsoa2011:E01002911 : Kensington and Chelsea 019D,86.1
lsoa2011:E01002914 : Kensington and Chelsea 019E,86.1
lsoa2011:E01002838 : Kensington and Chelsea 020A,77.3
lsoa2011:E01002895 : Kensington and Chelsea 020B,89.6
lsoa2011:E01002896 : Kensington and Chelsea 020C,82.8
lsoa2011:E01002897 : Kensington and Chelsea 020D,79.6
lsoa2011:E01002912 : Kensington and Chelsea 020E,81.1
lsoa2011:E01002840 : Kensington and Chelsea 021A,64.9
lsoa2011:E01002841 : Kensington and Chelsea 021B,74.2
lsoa2011:E01002842 : Kensington and Chelsea 021C,45.8
lsoa2011:E01002843 : Kensington and Chelsea 021D,57.6
lsoa2011:E01002913 : Kensington and Chelsea 021E,71.9
lsoa2011:E01001874 : Hammersmith and Fulham 001A,57.8
lsoa2011:E01001875 : Hammersmith and Fulham 001B,52.8
lsoa2011:E01001876 : Hammersmith and Fulham 001C,40.7
lsoa2011:E01001877 : Hammersmith and Fulham 001D,45.1
lsoa2011:E01001878 : Hammersmith and Fulham 001E,53.7
lsoa2011:E01001955 : Hammersmith and Fulham 002A,48.3
lsoa2011:E01001957 : Hammersmith and Fulham 002B,35.1
lsoa2011:E01001958 : Hammersmith and Fulham 002C,31.6
lsoa2011:E01001961 : Hammersmith and Fulham 002D,33.4
lsoa2011:E01001954 : Hammersmith and Fulham 003A,61.4
lsoa2011:E01001956 : Hammersmith and Fulham 003B,66.2
lsoa2011:E01001959 : Hammersmith and Fulham 003C,50.2
lsoa2011:E01001960 : Hammersmith and Fulham 003D,67.2
lsoa2011:E01001943 : Hammersmith and Fulham 004A,60.9
lsoa2011:E01001944 : Hammersmith and Fulham 004B,38.7
lsoa2011:E01001945 : Hammersmith and Fulham 004C,68.6
lsoa2011:E01001946 : Hammersmith and Fulham 004D,64.5
lsoa2011:E01001862 : Hammersmith and Fulham 005A,57.7
lsoa2011:E01001940 : Hammersmith and Fulham 005B,56.8
lsoa2011:E01001941 : Hammersmith and Fulham 005C,65.5
lsoa2011:E01001942 : Hammersmith and Fulham 005D,63.5
lsoa2011:E01001858 : Hammersmith and Fulham 006A,64.4
lsoa2011:E01001860 : Hammersmith and Fulham 006B,53.9
lsoa2011:E01001861 : Hammersmith and Fulham 006C,56.4
lsoa2011:E01001863 : Hammersmith and Fulham 006D,74.6
lsoa2011:E01001864 : Hammersmith and Fulham 006E,70.5
lsoa2011:E01001852 : Hammersmith and Fulham 007A,73.4
lsoa2011:E01001853 : Hammersmith and Fulham 007B,78.8
lsoa2011:E01001854 : Hammersmith and Fulham 007C,70.9
lsoa2011:E01001857 : Hammersmith and Fulham 007D,52.8
lsoa2011:E01001859 : Hammersmith and Fulham 008A,58.4
lsoa2011:E01001865 : Hammersmith and Fulham 008B,71.9
lsoa2011:E01001927 : Hammersmith and Fulham 008C,83.9
lsoa2011:E01001930 : Hammersmith and Fulham 008D,71.1
lsoa2011:E01001895 : Hammersmith and Fulham 009A,69.5
lsoa2011:E01001896 : Hammersmith and Fulham 009B,63
lsoa2011:E01001897 : Hammersmith and Fulham 009C,78
lsoa2011:E01001929 : Hammersmith and Fulham 009D,85.8
lsoa2011:E01001851 : Hammersmith and Fulham 010A,83.6
lsoa2011:E01001855 : Hammersmith and Fulham 010B,79
lsoa2011:E01001856 : Hammersmith and Fulham 010C,64.4
lsoa2011:E01001869 : Hammersmith and Fulham 010D,82.6
lsoa2011:E01001873 : Hammersmith and Fulham 010E,69.3
lsoa2011:E01001928 : Hammersmith and Fulham 011A,71.2
lsoa2011:E01001931 : Hammersmith and Fulham 011B,59.9
lsoa2011:E01001932 : Hammersmith and Fulham 011C,71.3
lsoa2011:E01001933 : Hammersmith and Fulham 011D,72.7
lsoa2011:E01001866 : Hammersmith and Fulham 012A,65.4
lsoa2011:E01001867 : Hammersmith and Fulham 012B,56.2
lsoa2011:E01001868 : Hammersmith and Fulham 012C,54.6
lsoa2011:E01001870 : Hammersmith and Fulham 012D,61.9
lsoa2011:E01001871 : Hammersmith and Fulham 012E,60.5
lsoa2011:E01001872 : Hammersmith and Fulham 012F,66.8
lsoa2011:E01001893 : Hammersmith and Fulham 013A,59.6
lsoa2011:E01001894 : Hammersmith and Fulham 013B,65.2
lsoa2011:E01001898 : Hammersmith and Fulham 013C,67.8
lsoa2011:E01001899 : Hammersmith and Fulham 013D,60.7
lsoa2011:E01001900 : Hammersmith and Fulham 013E,64.1
lsoa2011:E01001889 : Hammersmith and Fulham 014A,76.6
lsoa2011:E01001910 : Hammersmith and Fulham 014B,70.2
lsoa2011:E01001913 : Hammersmith and Fulham 014C,84.6
lsoa2011:E01001914 : Hammersmith and Fulham 014D,67.2
lsoa2011:E01001885 : Hammersmith and Fulham 015A,44
lsoa2011:E01001908 : Hammersmith and Fulham 015B,70.1
lsoa2011:E01001909 : Hammersmith and Fulham 015C,72
lsoa2011:E01001911 : Hammersmith and Fulham 015D,50.5
lsoa2011:E01001912 : Hammersmith and Fulham 015E,47.3
lsoa2011:E01001886 : Hammersmith and Fulham 016A,66.9
lsoa2011:E01001887 : Hammersmith and Fulham 016B,68.4
lsoa2011:E01001890 : Hammersmith and Fulham 016C,57.9
lsoa2011:E01001892 : Hammersmith and Fulham 016D,65.2
lsoa2011:E01001880 : Hammersmith and Fulham 017A,74.7
lsoa2011:E01001881 : Hammersmith and Fulham 017B,80.7
lsoa2011:E01001882 : Hammersmith and Fulham 017C,77.6
lsoa2011:E01001883 : Hammersmith and Fulham 017D,70.2
lsoa2011:E01001884 : Hammersmith and Fulham 017E,66.3
lsoa2011:E01001888 : Hammersmith and Fulham 018A,80.2
lsoa2011:E01001891 : Hammersmith and Fulham 018B,72.1
lsoa2011:E01001917 : Hammersmith and Fulham 018C,84.1
lsoa2011:E01001918 : Hammersmith and Fulham 018D,80.8
lsoa2011:E01001919 : Hammersmith and Fulham 018E,82.9
lsoa2011:E01001879 : Hammersmith and Fulham 019A,72.6
lsoa2011:E01001901 : Hammersmith and Fulham 019B,83.6
lsoa2011:E01001902 : Hammersmith and Fulham 019C,79.8
lsoa2011:E01001903 : Hammersmith and Fulham 019D,66.4
lsoa2011:E01001920 : Hammersmith and Fulham 020A,72.8
lsoa2011:E01001921 : Hammersmith and Fulham 020B,83.4
lsoa2011:E01001922 : Hammersmith and Fulham 020C,83.8
lsoa2011:E01001923 : Hammersmith and Fulham 020D,77.1
lsoa2011:E01001924 : Hammersmith and Fulham 020E,86.6
lsoa2011:E01001947 : Hammersmith and Fulham 021A,50.9
lsoa2011:E01001948 : Hammersmith and Fulham 021B,79.4
lsoa2011:E01001949 : Hammersmith and Fulham 021C,89.2
lsoa2011:E01001950 : Hammersmith and Fulham 021D,87
lsoa2011:E01001951 : Hammersmith and Fulham 021E,79.7
lsoa2011:E01001953 : Hammersmith and Fulham 021F,71.3
lsoa2011:E01001904 : Hammersmith and Fulham 022A,84.4
lsoa2011:E01001905 : Hammersmith and Fulham 022B,84.8
lsoa2011:E01001906 : Hammersmith and Fulham 022C,82.3
lsoa2011:E01001907 : Hammersmith and Fulham 022D,85
lsoa2011:E01001935 : Hammersmith and Fulham 023A,78.4
lsoa2011:E01001939 : Hammersmith and Fulham 023C,66.8
lsoa2011:E01032788 : Hammersmith and Fulham 023D,69.3
lsoa2011:E01032789 : Hammersmith and Fulham 023E,55.9
lsoa2011:E01032790 : Hammersmith and Fulham 023F,58
lsoa2011:E01001915 : Hammersmith and Fulham 024A,87.3
lsoa2011:E01001916 : Hammersmith and Fulham 024B,90.6
lsoa2011:E01001926 : Hammersmith and Fulham 024C,87.4
lsoa2011:E01001952 : Hammersmith and Fulham 024D,79.8
lsoa2011:E01001925 : Hammersmith and Fulham 025A,84.1
lsoa2011:E01001934 : Hammersmith and Fulham 025B,67.5
lsoa2011:E01001937 : Hammersmith and Fulham 025C,83.1
lsoa2011:E01001938 : Hammersmith and Fulham 025D,65.4
lsoa2011:E01004560 : Wandsworth 001A,78.5
lsoa2011:E01004566 : Wandsworth 001B,86.5
lsoa2011:E01004582 : Wandsworth 001C,76.2
lsoa2011:E01004583 : Wandsworth 001D,77.8
lsoa2011:E01004562 : Wandsworth 002B,49.5
lsoa2011:E01004563 : Wandsworth 002C,50.9
lsoa2011:E01004564 : Wandsworth 002D,77
lsoa2011:E01004567 : Wandsworth 002E,43
lsoa2011:E01033098 : Wandsworth 002F,66.8
lsoa2011:E01033100 : Wandsworth 002G,60.3
lsoa2011:E01033132 : Wandsworth 002H,58.1
lsoa2011:E01004539 : Wandsworth 003A,44.9
lsoa2011:E01004540 : Wandsworth 003B,69.9
lsoa2011:E01004577 : Wandsworth 003C,81.1
lsoa2011:E01004584 : Wandsworth 003D,44.1
lsoa2011:E01004579 : Wandsworth 004B,78.6
lsoa2011:E01004580 : Wandsworth 004C,72.1
lsoa2011:E01004581 : Wandsworth 004D,77.1
lsoa2011:E01033099 : Wandsworth 004E,61.2
lsoa2011:E01033101 : Wandsworth 004F,73.4
lsoa2011:E01033133 : Wandsworth 004G,69
lsoa2011:E01004565 : Wandsworth 005A,79.6
lsoa2011:E01004590 : Wandsworth 005B,73.6
lsoa2011:E01004591 : Wandsworth 005C,70.6
lsoa2011:E01004592 : Wandsworth 005D,78.1
lsoa2011:E01004604 : Wandsworth 006A,93.8
lsoa2011:E01004605 : Wandsworth 006B,84.7
lsoa2011:E01004606 : Wandsworth 006C,91.6
lsoa2011:E01004607 : Wandsworth 006D,90.6
lsoa2011:E01004608 : Wandsworth 006E,84.2
