LSOA Code,2011_summary,2021_summary,Population_2021,Population_2011,crime_2011,crime_2021
E01000081,98,93,1965,1698,0.05771495877502945,0.04732824427480916
E01000082,161,173,1902,1686,0.09549228944246738,0.09095688748685594
E01000083,89,107,1930,1703,0.05226071638285379,0.05544041450777202
E01000084,144,171,1411,1358,0.10603829160530191,0.12119064493267187
E01000085,150,137,1638,1720,0.0872093023255814,0.08363858363858363
E01000086,103,92,1468,1439,0.07157748436414177,0.06267029972752043
E01000087,146,216,1635,1348,0.1083086053412463,0.13211009174311927
E01000088,148,151,2011,1840,0.08043478260869565,0.07508702138239681
E01000089,69,140,1792,1676,0.04116945107398568,0.078125
E01000090,181,155,1676,1594,0.11355081555834379,0.09248210023866349
E01000091,123,164,2088,1722,0.07142857142857142,0.07854406130268199
E01000093,160,179,1787,1564,0.10230179028132992,0.10016787912702854
E01000094,87,114,2460,1338,0.06502242152466367,0.046341463414634146
E01000095,503,436,2229,1584,0.317550505050505,0.19560340960071781
E01000096,208,169,1672,1903,0.1093011035207567,0.10107655502392345
E01000097,127,131,1926,1679,0.07564026206075045,0.0680166147455867
E01000098,147,212,1936,1752,0.0839041095890411,0.10950413223140495
E01000099,145,128,2761,1736,0.08352534562211981,0.04636001448750453
E01000100,94,104,1949,1656,0.05676328502415459,0.05336069779374038
E01000101,114,110,1697,1519,0.07504937458854509,0.0648202710665881
E01000102,103,126,1822,1549,0.06649451258876694,0.06915477497255763
E01000103,115,115,1788,1694,0.0678866587957497,0.06431767337807606
E01000104,198,150,1893,1796,0.11024498886414254,0.07923930269413629
E01000105,243,288,2303,2148,0.11312849162011174,0.12505427702996091
E01000106,220,209,2234,1989,0.11060834590246355,0.09355416293643688
E01000107,55,74,1809,1665,0.03303303303303303,0.04090657822001106
E01000108,104,172,1952,1556,0.06683804627249357,0.08811475409836066
E01000110,77,66,1597,1418,0.054301833568406205,0.041327489041953665
E01000111,141,222,2178,1846,0.07638136511375948,0.10192837465564739
E01000112,146,174,1994,1881,0.07761828814460393,0.08726178535606821
E01000113,152,155,1979,1685,0.09020771513353115,0.07832238504295098
E01000114,215,222,2394,2093,0.10272336359292882,0.09273182957393483
E01000115,70,67,1395,1480,0.0472972972972973,0.04802867383512545
E01000116,96,92,1719,1717,0.05591147350029121,0.0535194880744619
E01000117,97,136,1750,1819,0.05332600329851567,0.07771428571428571
E01000118,81,69,2070,1933,0.04190377651319193,0.03333333333333333
E01000119,79,54,1777,1682,0.0469678953626635,0.030388294879009566
E01000120,73,48,1493,1507,0.04844061048440611,0.032150033489618215
E01000121,49,62,1472,1496,0.032754010695187165,0.042119565217391304
E01000122,64,48,1527,1477,0.043331076506431955,0.03143418467583497
