Area,ethnic_2011,ethnic_2021,education_2011,education_2021,elderly_2011,elderly_2021,unemployed_2011,unemployed_2021,median_house_price_2011,median_house_price_2021,crime_2011,crime_2021,gentrification_score
E01003626,0.874,0.801,0.656,0.635,0.062,0.068,0.145348837,0.168630339,232500,500000,0.071830106,0.042628774,0.366767566
E01003627,0.869,0.842,0.682,0.645,0.073,0.094,0.174512987,0.1925,245000,390000,0.044554455,0.049180328,0.029653755
E01003628,0.843,0.756,0.646,0.654,0.055,0.084,0.173170732,0.160606061,236250,436000,0.044073853,0.043087971,0.318448745
E01003629,0.874,0.726,0.701,0.707,0.073,0.077,0.189756507,0.156417112,134000,278500,0.045860631,0.035546262,0.892390413
E01003552,0.742,0.695,0.707,0.646,0.076,0.098,0.166666667,0.173092054,249973,324000,0.062247839,0.067380353,-0.059933958
E01003596,0.72,0.719,0.697,0.643,0.075,0.089,0.142525174,0.165244375,245000,500000,0.045682451,0.054906542,0.132617613
E01003597,0.811,0.815,0.75,0.716,0.072,0.113,0.167076167,0.236297199,220000,320000,0.039927405,0.02728513,-0.395666418
E01003635,0.564,0.54,0.667,0.59,0.063,0.106,0.084283904,0.104890605,250000,400000,0.071392147,0.054712893,-0.313183387
E01003568,0.902,0.873,0.7,0.617,0.071,0.102,0.169125993,0.18504496,244000,455000,0.02960103,0.035769231,-0.02751596
E01003569,0.922,0.875,0.66,0.637,0.078,0.069,0.182894737,0.213530655,285000,500000,0.157512953,0.201212121,0.434569155
E01003573,0.911,0.9,0.708,0.667,0.068,0.08,0.184064237,0.219107551,214500,427000,0.052293578,0.069468268,0.138474448
E01003574,0.848,0.835,0.691,0.661,0.094,0.114,0.162617749,0.221148958,235500,425000,0.072149533,0.07164869,-0.024041867
E01003520,0.869,0.83,0.645,0.677,0.08,0.093,0.163398693,0.189766839,249498,390000,0.166419019,0.273044345,0.175781667
E01003521,0.822,0.795,0.591,0.642,0.048,0.071,0.133037694,0.17829912,226750,450000,0.353610503,0.512117055,0.031717874
E01003522,0.864,0.831,0.676,0.654,0.068,0.09,0.170927684,0.20452937,190000,385000,0.048286604,0.046286329,0.103833283
E01003525,0.872,0.868,0.668,0.664,0.059,0.091,0.17979798,0.198203977,220000,460000,0.097804391,0.081016299,0.075811063
E01003526,0.829,0.83,0.709,0.654,0.074,0.096,0.204169662,0.2,195000,295000,0.077835052,0.088514226,0.045362016
E01003488,0.804,0.808,0.78,0.707,0.093,0.089,0.207783641,0.240572172,159998,320000,0.079872204,0.065369261,0.300452447
E01003489,0.823,0.81,0.745,0.595,0.078,0.055,0.194511703,0.185875217,180498,474500,0.108122942,0.063943756,0.848198048
E01003490,0.848,0.799,0.708,0.687,0.047,0.059,0.172958736,0.202149093,206500,453500,0.07470651,0.062127237,0.227621702
E01003524,0.847,0.826,0.714,0.699,0.066,0.085,0.188815789,0.198240866,216000,420000,0.077299413,0.061245497,0.218605815
E01003631,0.627,0.594,0.664,0.6,0.061,0.076,0.113207547,0.11604312,191500,447000,0.040540541,0.051130248,0.298673326
E01003632,0.65,0.581,0.713,0.599,0.075,0.094,0.095459837,0.123402163,227500,465000,0.044658494,0.0414274,0.010635557
E01003633,0.737,0.74,0.761,0.67,0.07,0.067,0.146194424,0.162998624,175000,500000,0.061137693,0.100053505,0.451807042
E01003634,0.688,0.693,0.735,0.626,0.072,0.098,0.146341463,0.164897381,234625,410000,0.069574821,0.063368538,-0.131428728
E01003636,0.667,0.698,0.721,0.606,0.065,0.064,0.143758766,0.156862745,240000,322500,0.141129032,0.121973504,-0.046280499
E01003598,0.757,0.754,0.726,0.648,0.051,0.072,0.188155922,0.162253904,183500,500000,0.054679285,0.071504803,0.384580543
E01003600,0.696,0.707,0.76,0.643,0.079,0.081,0.149700599,0.160550459,135000,323750,0.104626709,0.077675841,0.293222834
E01003630,0.692,0.702,0.714,0.616,0.072,0.093,0.121232418,0.178947368,217750,400000,0.081813701,0.082601962,-0.266042098
E01003637,0.618,0.545,0.646,0.618,0.081,0.077,0.099435825,0.119873817,224000,520000,0.035522067,0.049788136,0.539320452
E01003491,0.881,0.853,0.672,0.666,0.116,0.128,0.178153446,0.224293059,170000,415000,0.145363409,0.139203148,0.314716476
E01003592,0.748,0.712,0.721,0.622,0.075,0.085,0.129032258,0.176821192,201000,400000,0.075553157,0.080338266,0.000983747
E01003599,0.774,0.815,0.734,0.674,0.077,0.087,0.16112532,0.165484634,141500,399000,0.080098583,0.071688943,0.364750649
E01003606,0.733,0.445219575,0.743,0.537669242,0.076,0.125633398,0.08169464,0.102151742,195000,385000,0.085342529,0.079747003,0.162667456
E01003535,0.665,0.688,0.812,0.738,0.096,0.085,0.180650685,0.210297317,182000,382500,0.114638448,0.087794433,0.378918689
E01003536,0.69,0.722,0.734,0.677,0.06,0.061,0.142745098,0.138998682,171500,410000,0.068574514,0.046457062,0.463750452
E01003621,0.831,0.792,0.739,0.644,0.056,0.073,0.164825828,0.183870968,212500,500000,0.052474657,0.039951574,0.140271356
E01003622,0.812,0.798,0.723,0.65,0.067,0.052,0.178571429,0.191666667,220000,435740,0.083487941,0.109573879,0.620486488
E01003623,0.773,0.767,0.744,0.705,0.071,0.064,0.195431472,0.189450223,206000,397500,0.081678956,0.077054795,0.575211157
E01003523,0.767,0.647,0.719,0.626,0.089,0.097,0.159726962,0.199054622,115000,310000,0.127493917,0.091056253,0.385894938
E01003527,0.668,0.69,0.694,0.629,0.084,0.086,0.121065375,0.132321041,200000,450000,0.080112045,0.061191626,0.31201374
E01003537,0.656,0.67,0.727,0.655,0.07,0.073,0.11888587,0.141697878,200000,397000,0.089941973,0.088029809,0.163316114
E01003542,0.708,0.809,0.793,0.688,0.08,0.065,0.157894737,0.17893477,150500,350000,0.07106599,0.074190647,0.405722531
E01003624,0.714,0.733,0.743,0.693,0.074,0.081,0.162162162,0.184748428,204000,381000,0.060491493,0.055588409,0.157822062
E01003492,0.81,0.79,0.714,0.644,0.066,0.076,0.157711096,0.168589744,220000,448500,0.05981216,0.044607843,0.229990546
E01003493,0.776,0.445219575,0.705,0.537669242,0.067,0.125633398,0.08169464,0.102151742,226000,488000,0.085342529,0.079747003,0.301666185
E01003494,0.707,0.695,0.687,0.614,0.069,0.067,0.125440451,0.140038192,199995,393250,0.050632911,0.050888142,0.31541367
E01003495,0.622,0.651,0.7,0.64,0.063,0.076,0.091870456,0.127521145,228500,424000,0.045261669,0.046889952,-0.12783146
E01003594,0.717,0.686,0.71,0.655,0.051,0.069,0.150769231,0.171115674,203500,345000,0.083333333,0.059643255,-0.008409214
E01003595,0.681,0.66,0.742,0.659,0.101,0.104,0.146748682,0.153529815,194250,393000,0.061688312,0.070594775,0.338580629
E01003602,0.68,0.656,0.726,0.653,0.076,0.064,0.129740519,0.12182448,227000,417500,0.081081081,0.066636239,0.633560107
E01003607,0.666,0.682,0.725,0.622,0.047,0.065,0.132401316,0.146291209,180000,300000,0.123419627,0.077453581,-0.160925217
E01003496,0.677,0.694,0.656,0.577,0.045,0.071,0.115183246,0.156221617,204250,320000,0.078082192,0.074571216,-0.428582479
E01003498,0.578,0.633,0.732,0.65,0.064,0.056,0.130536131,0.143716578,168500,356000,0.063428571,0.074946467,0.364789465
E01003500,0.55,0.57,0.757,0.608,0.055,0.084,0.141420912,0.135951662,240000,465000,0.107662464,0.0807484,-0.101291265
